Workout,WOC
20 Pushups,2
15 Pushups,2
10 Pushups,2
20 Dips,2
15 Dips,2
10 Dips,2
75 Jumping Jacks,2
50 Jumping Jacks,2
1 Hill Sprint,2
2 Hill Sprint,2
3 Hill Sprint,2
150 Jump Ropes,2
100 Jump Ropes,2
50 Jump Ropes,2
1.5 Minute Plank,2
1 Minute Plank,2
30 Second Plank,2
"2, 30 Second Planks",2
20 Sit Ups,2
15 Sit Ups,2
10 Sit Ups,2
20 Crunches,2
30 Squats,50
1 Min wall sit,2
10 Burpees,2
20 Plyo Lunges,2
20 Jump Squats,2
20 Burpees,2
25 Burpees,2
15 Plyo Lunges,2
30 Crunches,2
15 Pike Pushups,2
20 Pike Pushups,2
30 Jump Squats,2
15 Burpees,2
2 Minute Wall Sit,2
50 Calf Raises,2
25 Butterfly Kicks,2
30 Russian Twists,2
40 Russian Twists,2
50 Russian Twists,2